applicant_name,age,income,loan_amount,credit_score,employment_length,debt_to_income_ratio,home_ownership,loan_purpose,employment_status,loan_default
Suresh Singh,45,357939,124070,635,0.0,,MORTGAGE,business,employed,1
Rahul Patel,38,352671,144033,646,21.0,0.08024790112381104,MORTGAGE,other,employed,0
Kavita Jain,47,200000,128161,656,8.0,0.08071253171588043,OWN,home_improvement,employed,0
Vikram Singh,58,375102,170104,744,10.0,0.20447043844468268,RENT,debt_consolidation,employed,0
Anita Banerjee,37,638204,262727,575,5.0,0.23339309058018215,MORTGAGE,debt_consolidation,self_employed,1
Amit Chakraborty,37,233954,119561,565,1.0,0.20614066984747578,RENT,debt_consolidation,unemployed,1
Neha Verma,58,747314,242881,773,0.0,0.13355211721561533,MORTGAGE,debt_consolidation,employed,0
Rahul Gupta,49,564608,119053,603,9.0,0.10719859269776921,OWN,business,employed,0
Rajesh Jain,34,306472,115954,523,2.0,0.22773501237056493,MORTGAGE,debt_consolidation,employed,0
Vijay Ghosh,46,412188,225807,601,1.0,0.1214631946111219,OWN,other,employed,0
Rahul Banerjee,34,983783,235337,616,4.0,0.1265600245298009,MORTGAGE,business,employed,0
Rajesh Banerjee,34,638434,228790,805,2.0,0.12156255292329976,RENT,other,employed,0
Neha Jain,42,444360,96151,742,5.0,0.268050478689713,RENT,home_improvement,self_employed,0
Manish Chakraborty,18,392840,135079,764,3.0,0.23802682840792633,MORTGAGE,business,self_employed,0
Sanjay Sharma,19,459688,226204,731,5.0,0.043116725888457476,OWN,home_improvement,employed,0
Ramesh Mishra,33,342531,165481,744,9.0,0.22686876508426704,OWN,other,employed,0
Mukesh Iyer,27,200000,105928,581,1.0,0.041073670829492155,MORTGAGE,education,employed,0
Arun Patel,43,1228235,195502,630,1.0,0.15707340591398752,OWN,business,employed,0
Vikram Agarwal,29,478141,122281,551,2.0,0.23870303813805552,MORTGAGE,business,employed,1
Ramesh Reddy,23,539864,333637,628,16.0,0.14216460902694636,RENT,debt_consolidation,employed,0
Anjali Gupta,57,429787,301925,718,2.0,0.02098005174978791,MORTGAGE,education,retired,0
Deepak Singh,37,306337,207241,663,2.0,0.2987264507843272,OWN,other,employed,0
Pooja Nair,40,403139,280520,781,5.0,0.2696803272055206,OWN,debt_consolidation,employed,0
Divya Patel,22,200000,167027,535,2.0,0.16649221327561228,MORTGAGE,business,employed,1
Geeta Verma,33,1381310,221056,700,15.0,0.17890538401368414,OWN,home_improvement,employed,0
Shweta Pillai,41,238647,293927,525,11.0,0.24758169214751094,MORTGAGE,other,employed,1
Swati Singh,26,264082,179548,659,3.0,0.06485053186412991,MORTGAGE,debt_consolidation,employed,0
Sunita Menon,44,354999,146961,724,5.0,0.08597160626029655,MORTGAGE,debt_consolidation,employed,0
Amit Banerjee,32,842423,82302,628,0.0,0.12678244897007887,OWN,debt_consolidation,retired,0
Meena Ghosh,36,445634,157431,705,5.0,0.45836691555477727,OWN,debt_consolidation,employed,1
Naresh Nair,32,238454,226243,554,6.0,0.18387090028670408,RENT,education,employed,0
Ajay Agarwal,62,828331,237578,483,2.0,0.23045620779414655,RENT,debt_consolidation,employed,0
Mukesh Gupta,39,637621,199136,705,1.0,0.224346638485797,RENT,business,employed,1
Priya Jain,27,579092,131069,824,12.0,0.1920843643548098,MORTGAGE,other,employed,1
Ramesh Shah,49,632773,73811,550,2.0,0.03664818956238838,RENT,debt_consolidation,employed,0
Amit Jain,25,1464729,133507,772,5.0,0.047772560327374064,MORTGAGE,debt_consolidation,employed,1
Rekha Singh,42,1319215,144099,654,0.0,0.23961570320393552,OWN,other,employed,0
Deepak Patel,18,313841,143605,516,2.0,0.2456764064197696,OWN,business,employed,1
Manish Nair,24,996438,208443,536,,0.1563730346789469,OWN,debt_consolidation,employed,1
Sneha Nair,42,535836,360148,651,2.0,0.1508844242543991,RENT,debt_consolidation,employed,0
Pooja Agarwal,48,567813,170998,609,4.0,0.03922562935559717,MORTGAGE,other,employed,0
Anita Patel,42,200000,149239,518,1.0,0.08084821667311064,MORTGAGE,debt_consolidation,employed,0
Mukesh Gupta,38,406283,146724,480,2.0,,MORTGAGE,education,employed,0
Divya Mishra,36,294663,171057,565,13.0,0.1362196676594901,MORTGAGE,debt_consolidation,employed,0
Swati Jain,22,669327,116854,669,4.0,0.23997754080197398,RENT,home_improvement,self_employed,1
Sneha Pillai,31,755806,170771,649,11.0,0.19570578278673664,RENT,other,self_employed,1
Deepak Patel,34,200000,194916,599,11.0,0.16841817961935426,OWN,debt_consolidation,self_employed,0
Sunita Banerjee,52,437565,176994,670,14.0,0.06973421482026342,MORTGAGE,debt_consolidation,employed,1
Kavita Reddy,44,775242,195441,754,11.0,0.1408739711279389,RENT,home_improvement,self_employed,0
Dinesh Verma,18,402987,193590,689,0.0,0.1452893544536812,OWN,business,employed,0
Kavita Verma,43,637004,80116,637,13.0,0.1605607296431549,RENT,debt_consolidation,employed,0
Geeta Reddy,35,527330,209975,742,0.0,0.11232846497848709,MORTGAGE,home_improvement,employed,1
Deepak Patel,31,524830,124441,554,0.0,0.1984186298696388,MORTGAGE,debt_consolidation,self_employed,1
